60.173.8.240 - - [08/Nov/2013:00:30:57 +0800] "GET / HTTP/1.1" 404 -
123.151.149.222 - - [08/Nov/2013:17:49:27 +0800] "GET / HTTP/1.1" 404 -
219.142.18.122 - - [08/Nov/2013:19:15:41 +0800] "GET /soklr HTTP/1.1" 404 -
219.142.18.122 - - [08/Nov/2013:19:15:42 +0800] "GET /favicon.ico HTTP/1.1" 404 -
219.142.18.122 - - [08/Nov/2013:19:15:45 +0800] "GET /solr HTTP/1.1" 302 -
219.142.18.122 - - [08/Nov/2013:19:15:45 +0800] "GET /solr/ HTTP/1.1" 200 5549
219.142.18.122 - - [08/Nov/2013:19:15:45 +0800] "GET /solr/css/styles/common.css?_=4.4.0 HTTP/1.1" 200 13429
219.142.18.122 - - [08/Nov/2013:19:15:45 +0800] "GET /solr/css/styles/analysis.css?_=4.4.0 HTTP/1.1" 200 6070
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/index.css?_=4.4.0 HTTP/1.1" 200 4815
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/java-properties.css?_=4.4.0 HTTP/1.1" 200 1185
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/cores.css?_=4.4.0 HTTP/1.1" 200 3985
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/cloud.css?_=4.4.0 HTTP/1.1" 200 6746
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/dataimport.css?_=4.4.0 HTTP/1.1" 200 7504
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/dashboard.css?_=4.4.0 HTTP/1.1" 200 3352
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/logging.css?_=4.4.0 HTTP/1.1" 200 7751
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/menu.css?_=4.4.0 HTTP/1.1" 200 6063
219.142.18.122 - - [08/Nov/2013:19:15:46 +0800] "GET /solr/css/styles/plugins.css?_=4.4.0 HTTP/1.1" 200 4189
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/styles/documents.css?_=4.4.0 HTTP/1.1" 200 3581
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/styles/query.css?_=4.4.0 HTTP/1.1" 200 2960
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/styles/replication.css?_=4.4.0 HTTP/1.1" 200 9733
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/styles/schema-browser.css?_=4.4.0 HTTP/1.1" 200 12272
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/styles/threads.css?_=4.4.0 HTTP/1.1" 200 3666
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/css/chosen.css?_=4.4.0 HTTP/1.1" 200 15200
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/solr.png HTTP/1.1" 200 7926
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/ico/box.png HTTP/1.1" 200 508
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/ico/dashboard.png HTTP/1.1" 200 646
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/ico/inbox-document-text.png HTTP/1.1" 200 675
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/ico/databases.png HTTP/1.1" 200 661
219.142.18.122 - - [08/Nov/2013:19:15:47 +0800] "GET /solr/img/ico/jar.png HTTP/1.1" 200 805
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/ui-accordion.png HTTP/1.1" 200 583
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/document-text.png HTTP/1.1" 200 592
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/bug.png HTTP/1.1" 200 704
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/users.png HTTP/1.1" 200 870
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/mail.png HTTP/1.1" 200 505
219.142.18.122 - - [08/Nov/2013:19:15:48 +0800] "GET /solr/img/ico/script-code.png HTTP/1.1" 200 568
219.142.18.122 - - [08/Nov/2013:19:15:49 +0800] "GET /solr/js/require.js?_=4.4.0 HTTP/1.1" 200 334540
219.142.18.122 - - [08/Nov/2013:19:15:50 +0800] "GET /solr/js/main.js?_=4.4.0 HTTP/1.1" 200 1856
219.142.18.122 - - [08/Nov/2013:19:15:50 +0800] "GET /solr/js/lib/order.js?_=4.4.0 HTTP/1.1" 200 8872
219.142.18.122 - - [08/Nov/2013:19:15:50 +0800] "GET /solr/img/favicon.ico?_=4.4.0 HTTP/1.1" 200 1146
