219.142.18.122 - - [05/Nov/2013:16:01:18 +0800] "GET /solr/js/scripts/analysis.js?_=4.4.0 HTTP/1.1" 200 19559
219.142.18.122 - - [05/Nov/2013:16:01:19 +0800] "GET /solr/js/scripts/cloud.js?_=4.4.0 HTTP/1.1" 200 19254
219.142.18.122 - - [05/Nov/2013:16:01:19 +0800] "GET /solr/js/scripts/cores.js?_=4.4.0 HTTP/1.1" 200 17389
219.142.18.122 - - [05/Nov/2013:16:01:19 +0800] "GET /solr/js/lib/jquery.jstree.js?_=4.4.0 HTTP/1.1" 200 134711
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/documents.js?_=4.4.0 HTTP/1.1" 200 16225
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/dataimport.js?_=4.4.0 HTTP/1.1" 200 25497
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/dashboard.js?_=4.4.0 HTTP/1.1" 200 17887
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/file.js?_=4.4.0 HTTP/1.1" 200 2243
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/index.js?_=4.4.0 HTTP/1.1" 200 10207
219.142.18.122 - - [05/Nov/2013:16:01:20 +0800] "GET /solr/js/scripts/java-properties.js?_=4.4.0 HTTP/1.1" 200 3486
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/logging.js?_=4.4.0 HTTP/1.1" 200 13572
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/ping.js?_=4.4.0 HTTP/1.1" 200 2349
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/plugins.js?_=4.4.0 HTTP/1.1" 200 12286
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/query.js?_=4.4.0 HTTP/1.1" 200 6863
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/replication.js?_=4.4.0 HTTP/1.1" 200 16229
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/schema-browser.js?_=4.4.0 HTTP/1.1" 200 39450
219.142.18.122 - - [05/Nov/2013:16:01:21 +0800] "GET /solr/js/scripts/threads.js?_=4.4.0 HTTP/1.1" 200 5340
219.142.18.122 - - [05/Nov/2013:16:01:22 +0800] "GET /solr/js/lib/d3.js?_=4.4.0 HTTP/1.1" 200 255209
219.142.18.122 - - [05/Nov/2013:16:01:24 +0800] "GET /solr/img/loader.gif HTTP/1.1" 200 1553
219.142.18.122 - - [05/Nov/2013:16:01:24 +0800] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1383638485685 HTTP/1.1" 200 458
219.142.18.122 - - [05/Nov/2013:16:01:24 +0800] "GET /solr/img/chosen-sprite.png HTTP/1.1" 200 559
219.142.18.122 - - [05/Nov/2013:16:01:24 +0800] "GET /solr/collection1/admin/system?wt=json&_=1383638485840 HTTP/1.1" 200 2947
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/tpl/index.html?_=1383638486047 HTTP/1.1" 200 6141
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/server.png HTTP/1.1" 200 423
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/property.png HTTP/1.1" 200 769
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/system-monitor.png HTTP/1.1" 200 547
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/arrow-circle.png HTTP/1.1" 200 802
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/memory.png HTTP/1.1" 200 349
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/clock-select.png HTTP/1.1" 200 741
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/globe.png HTTP/1.1" 200 882
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/folder.png HTTP/1.1" 200 476
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/solr-ico.png HTTP/1.1" 200 1146
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/lucene-ico.png HTTP/1.1" 200 1508
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/processor.png HTTP/1.1" 200 635
219.142.18.122 - - [05/Nov/2013:16:01:25 +0800] "GET /solr/img/ico/terminal.png HTTP/1.1" 200 492
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.menu-top.html&contentType=text/html;charset=utf-8&_=1383638487552 HTTP/1.1" 200 926
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.menu-bottom.html&contentType=text/html;charset=utf-8&_=1383638487556 HTTP/1.1" 200 928
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/tpl/dashboard.html?_=1383638487557 HTTP/1.1" 200 4575
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/home.png HTTP/1.1" 200 752
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/funnel.png HTTP/1.1" 200 591
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/gear.png HTTP/1.1" 200 736
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/document-import.png HTTP/1.1" 200 688
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/documents-stack.png HTTP/1.1" 200 594
